x	y	z
0.312312	0.207036	0.349038
0.313113	0.208340	0.348725
0.313914	0.209647	0.348411
0.314715	0.210957	0.348097
0.315516	0.212269	0.347781
0.316316	0.213585	0.347465
0.317117	0.214904	0.347148
0.317918	0.216226	0.346830
0.318719	0.217551	0.346511
0.319520	0.218879	0.346192
0.320320	0.220210	0.345872
0.321121	0.221544	0.345551
0.321922	0.222881	0.345229
0.322723	0.224221	0.344906
0.323524	0.225565	0.344583
0.324324	0.226911	0.344259
0.325125	0.228261	0.343934
0.325926	0.229614	0.343608
0.326727	0.230970	0.343281
0.327528	0.232330	0.342954
0.328328	0.233692	0.342625
0.329129	0.235059	0.342296
0.329930	0.236428	0.341966
0.330731	0.237801	0.341636
0.331532	0.239177	0.341304
0.332332	0.240557	0.340972
0.333133	0.241941	0.340639
0.333934	0.243328	0.340305
0.334735	0.244718	0.339970
0.335536	0.246113	0.339635
0.336336	0.247511	0.339299
0.337137	0.248913	0.338962
0.337938	0.250319	0.338624
0.338739	0.251728	0.338285
0.339540	0.253142	0.337946
0.340340	0.254560	0.337605
0.341141	0.255982	0.337264
0.341942	0.257408	0.336922
0.342743	0.258839	0.336580
0.343544	0.260274	0.336236
0.344344	0.261713	0.335892
0.345145	0.263157	0.335547
0.345946	0.264605	0.335201
0.346747	0.266059	0.334854
0.347548	0.267517	0.334507
0.348348	0.268979	0.334158
0.349149	0.270447	0.333809
0.349950	0.271920	0.333459
0.350751	0.273399	0.333109
0.351552	0.274882	0.332757
0.352352	0.276371	0.332405
0.353153	0.277866	0.332052
0.353954	0.279366	0.331698
0.354755	0.280872	0.331343
0.355556	0.282384	0.330988
0.356356	0.283903	0.330631
0.357157	0.285427	0.330274
0.357958	0.286958	0.329916
0.358759	0.288495	0.329558
0.359560	0.290039	0.329198
0.360360	0.291590	0.328838
0.361161	0.293147	0.328477
0.361962	0.294712	0.328115
0.362763	0.296284	0.327752
0.363564	0.297864	0.327388
0.364364	0.299451	0.327024
0.365165	0.301046	0.326659
0.365966	0.302650	0.326293
0.366767	0.304261	0.325926
0.367568	0.305881	0.325559
0.368368	0.307510	0.325190
0.369169	0.309147	0.324821
0.369970	0.310794	0.324451
0.370771	0.312450	0.324081
0.371572	0.314115	0.323709
0.372372	0.315791	0.323337
0.373173	0.317476	0.322964
0.373974	0.319172	0.322590
0.374775	0.320878	0.322215
0.375576	0.322595	0.321839
0.376376	0.324324	0.321463
0.377177	0.326064	0.321086
0.377978	0.327815	0.320708
0.378779	0.329579	0.320329
0.379580	0.331355	0.319950
0.380380	0.333144	0.319569
0.381181	0.334945	0.319188
0.381982	0.336760	0.318806
0.382783	0.338589	0.318423
0.383584	0.340432	0.318040
0.384384	0.342290	0.317655
0.385185	0.344162	0.317270
0.385986	0.346049	0.316884
0.386787	0.347952	0.316497
0.387588	0.349871	0.316110
0.388388	0.351807	0.315722
0.389189	0.353759	0.315332
0.389990	0.355729	0.314942
0.390791	0.357716	0.314552
0.391592	0.359722	0.314160
0.392392	0.361747	0.313768
0.393193	0.363790	0.313374
0.393994	0.365854	0.312980
0.394795	0.367937	0.312586
0.395596	0.370042	0.312190
0.396396	0.372167	0.311794
0.397197	0.374315	0.311396
0.397998	0.376484	0.310998
0.398799	0.378677	0.310600
0.399600	0.380893	0.310200
0.400400	0.383134	0.309800
0.401201	0.385399	0.309398
0.402002	0.387689	0.308996
0.402803	0.390005	0.308594
0.403604	0.392348	0.308190
0.404404	0.394718	0.307786
0.405205	0.397116	0.307380
0.406006	0.399542	0.306974
0.406807	0.401997	0.306568
0.407608	0.404482	0.306160
0.408408	0.406998	0.305752
0.409209	0.409545	0.305342
0.410010	0.412124	0.304932
0.410811	0.414735	0.304522
0.411612	0.417380	0.304110
0.412412	0.420059	0.303698
0.413213	0.422772	0.303284
0.414014	0.425521	0.302870
0.414815	0.428306	0.302455
0.415616	0.431128	0.302040
0.416416	0.433988	0.301623
0.417217	0.436886	0.301206
0.418018	0.439823	0.300788
0.418819	0.442800	0.300369
0.419620	0.445818	0.299950
0.420420	0.448876	0.299529
0.421221	0.451977	0.299108
0.422022	0.455120	0.298686
0.422823	0.458307	0.298263
0.423624	0.461538	0.297839
0.424424	0.464813	0.297415
0.425225	0.468134	0.296990
0.426026	0.471501	0.296564
0.426827	0.474915	0.296137
0.427628	0.478376	0.295709
0.428428	0.481884	0.295281
0.429229	0.485442	0.294851
0.430030	0.489048	0.294421
0.430831	0.492704	0.293990
0.431632	0.496410	0.293559
0.432432	0.500166	0.293126
0.433233	0.503974	0.292693
0.434034	0.507833	0.292259
0.434835	0.511743	0.291824
0.435636	0.515706	0.291388
0.436436	0.519722	0.290952
0.437237	0.523790	0.290515
0.438038	0.527911	0.290077
0.438839	0.532085	0.289638
0.439640	0.536313	0.289198
0.440440	0.540594	0.288758
0.441241	0.544929	0.288316
0.442042	0.549317	0.287874
0.442843	0.553759	0.287431
0.443644	0.558254	0.286988
0.444444	0.562803	0.286543
0.445245	0.567404	0.286098
0.446046	0.572058	0.285652
0.446847	0.576765	0.285205
0.447648	0.581524	0.284757
0.448448	0.586334	0.284309
0.449249	0.591196	0.283859
0.450050	0.596107	0.283409
0.450851	0.601069	0.282958
0.451652	0.606080	0.282507
0.452452	0.611139	0.282054
0.453253	0.616245	0.281601
0.454054	0.621399	0.281147
0.454855	0.626597	0.280692
0.455656	0.631840	0.280236
0.456456	0.637126	0.279780
0.457257	0.642454	0.279322
0.458058	0.647823	0.278864
0.458859	0.653231	0.278405
0.459660	0.658677	0.277946
0.460460	0.664160	0.277485
0.461261	0.669676	0.277024
0.462062	0.675226	0.276562
0.462863	0.680807	0.276099
0.463664	0.686418	0.275635
0.464464	0.692055	0.275170
0.465265	0.697719	0.274705
0.466066	0.703405	0.274239
0.466867	0.709113	0.273772
0.467668	0.714839	0.273304
0.468468	0.720583	0.272836
0.469269	0.726340	0.272366
0.470070	0.732110	0.271896
0.470871	0.737888	0.271425
0.471672	0.743674	0.270954
0.472472	0.749464	0.270481
0.473273	0.755256	0.270008
0.474074	0.761046	0.269534
0.474875	0.766833	0.269059
0.475676	0.772612	0.268583
0.476476	0.778383	0.268106
0.477277	0.784140	0.267629
0.478078	0.789882	0.267151
0.478879	0.795606	0.266672
0.479680	0.801308	0.266192
0.480480	0.806985	0.265712
0.481281	0.812635	0.265230
0.482082	0.818255	0.264748
0.482883	0.823840	0.264265
0.483684	0.829388	0.263781
0.484484	0.834896	0.263297
0.485285	0.840361	0.262811
0.486086	0.845779	0.262325
0.486887	0.851148	0.261838
